Keyword,Document Frequency,Posting List
react,1,'doc6'
read,3,"'doc2', 'doc8', 'doc10'"
reader,1,'doc10'
realiz,1,'doc9'
rear,1,'doc6'
recommend,1,'doc5'
releas,1,'doc8'
repair,2,"'doc3', 'doc8'"
replac,1,'doc3'
respons,3,"'doc5', 'doc6', 'doc8'"
restart,1,'doc2'
result,1,'doc8'
return,1,'doc9'
review,1,'doc8'
revis,1,'doc8'
ridicul,1,'doc1'
right,1,'doc8'
rock,1,'doc1'
roll,2,"'doc7', 'doc8'"
s,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
same,1,'doc10'
save,1,'doc5'
screen,5,"'doc1', 'doc2', 'doc3', 'doc6', 'doc8'"
see,2,"'doc3', 'doc8'"
seem,1,'doc3'
send,2,"'doc3', 'doc8'"
sensit,1,'doc3'
sever,1,'doc5'
shame,1,'doc8'
shop,1,'doc4'
should,1,'doc7'
size,1,'doc2'
slimport,1,'doc1'
slow,1,'doc9'
sluggi,1,'doc9'
small,1,'doc2'
so,7,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc8', 'doc9'"
softwar,1,'doc1'
some,3,"'doc1', 'doc2', 'doc8'"
sometim,1,'doc2'
son,2,"'doc1', 'doc5'"
soon,1,'doc9'
speaker,1,'doc6'
special,1,'doc6'
star,4,"'doc1', 'doc2', 'doc3', 'doc4'"
start,3,"'doc2', 'doc3', 'doc4'"
stero,1,'doc6'
still,1,'doc1'
stock,1,'doc8'
storag,1,'doc2'
submit,1,'doc8'
super,1,'doc9'
sure,1,'doc2'
surpris,2,"'doc2', 'doc4'"
suspens,1,'doc7'
system,2,"'doc1', 'doc2'"
t,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
tablet,6,"'doc2', 'doc3', 'doc4', 'doc6', 'doc9', 'doc10'"
tech,1,'doc2'
teen,1,'doc5'
temperatur,1,'doc3'
than,2,"'doc2', 'doc8'"
that,6,"'doc1', 'doc2', 'doc3', 'doc6', 'doc8', 'doc9'"
their,2,"'doc1', 'doc8'"
them,2,"'doc7', 'doc8'"
then,2,"'doc3', 'doc8'"
they,1,'doc8'
thi,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
thing,5,"'doc1', 'doc6', 'doc7', 'doc8', 'doc10'"
thought,1,'doc9'
thrill,1,'doc6'
throw,1,'doc9'
time,3,"'doc2', 'doc5', 'doc8'"
to,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
too,5,"'doc1', 'doc2', 'doc7', 'doc8', 'doc9'"
topnotch,1,'doc1'
touch,4,"'doc2', 'doc3', 'doc6', 'doc8'"
tough,1,'doc5'
tri,2,"'doc8', 'doc9'"
trivial,1,'doc8'
two,1,'doc9'
ugli,1,'doc9'
unabl,1,'doc7'
unit,1,'doc8'
unlik,1,'doc6'
unrespons,1,'doc8'
up,4,"'doc1', 'doc6', 'doc8', 'doc9'"
updat,2,"'doc1', 'doc8'"
upgrad,1,'doc6'
use,7,"'doc1', 'doc2', 'doc4', 'doc5', 'doc7', 'doc8', 'doc10'"
ve,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
vein,1,'doc9'
video,1,'doc4'
vimeo,1,'doc4'
wa,8,"'doc1', 'doc2', 'doc3', 'doc4', 'doc7', 'doc8', 'doc9', 'doc10'"
want,4,"'doc2', 'doc7', 'doc8', 'doc10'"
warmer,1,'doc3'
wasn,1,'doc2'
wast,1,'doc8'
watch,1,'doc4'
we,5,"'doc1', 'doc2', 'doc3', 'doc4', 'doc9'"
web,1,'doc4'
week,1,'doc9'
weight,1,'doc2'
well,1,'doc2'
went,1,'doc3'
were,1,'doc3'
what,1,'doc4'
whatsoev,1,'doc4'
when,3,"'doc1', 'doc3', 'doc8'"
where,1,'doc2'
which,1,'doc8'
widespread,1,'doc8'
will,1,'doc8'
with,7,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc8'"
won,3,"'doc2', 'doc3', 'doc8'"
work,3,"'doc2', 'doc3', 'doc8'"
worst,1,'doc1'
would,3,"'doc3', 'doc5', 'doc8'"
year,4,"'doc1', 'doc2', 'doc4', 'doc8'"
you,3,"'doc6', 'doc7', 'doc8'"
